day,DVS,LAI,TAGP,TWSO,NAVAIL,NuptakeTotal
10-03,-0.1,0.331567985976594,327.022271728516,0,0,0
10-04,-0.089984305699666,0.331567985976594,327.022271728516,0,12.1283240231209,0
10-05,-0.079590139389038,0.331567985976594,327.022271728516,0,12.0901514198198,0
10-06,-0.066885208288829,0.331567985976594,327.022271728516,0,12.0568470523456,0
10-07,-0.056807013352712,0.331567985976594,327.022271728516,0,12.0304384543953,0
10-08,-0.04696492989858,0.331567985976594,327.022271728516,0,12.0199810188877,0
10-09,-0.037681874434153,0.331567985976594,327.022271728516,0,12.2165657853324,0
10-10,-0.0291574994723,0.331567985976594,327.022271728516,0,11.7402509907422,0
10-11,-0.020862290859222,0.331567985976594,327.022271728516,0,11.8424862834133,0
10-12,-0.01281013806661,0.331567985976594,327.022271728516,0,11.7639684416091,0
10-13,-0.004841318925222,0.331567985976594,327.022271728516,0,11.8130466772209,0
10-14,0,0.331567985976594,327.022271728516,0,12.0119708790617,0
10-15,0,0.334229988128947,329.647778496441,0,13.5768339947379,0.170024271155574
10-16,0,0.341520805252483,336.838640338766,0,14.8830723782334,0.635694769003041
10-17,0,0.357239136746639,352.34147743524,0,15.9964057522219,1.63963755459119
10-18,0,0.357837637193568,352.931772590572,0,17.5153213025981,1.67786427134471
10-19,0,0.373739175002824,368.615304289337,0,17.369566168759,2.69350859525366
10-20,0,0.386186781167015,380.892256882954,0,18.3447137750385,3.48854745869969
10-21,0,0.393360285321702,387.967414087924,0,19.7328398028703,3.94672508055235
10-22,0,0.405975183518307,400.409365181987,0,19.9990748017694,4.75244902396949
10-23,0,0.420592935628991,414.826711563364,0,20.5685619760201,5.68609689737724
10-24,0,0.428276721558837,422.405154707846,0,21.7641394542138,6.17686663671885
10-25,0,0.445764618220982,439.653296675966,0,21.9063007427567,7.29383300783767
10-26,0,0.462241699584396,455.904481370557,0,22.1438062275986,8.34623777284075
10-27,0,0.479060804930183,472.493000984176,0,22.6608545984456,9.42048789145081
10-28,0,0.492093896673879,485.347412296281,0,23.4635412469464,10.2529222013428
10-29,0,0.505878047254414,498.942585616219,0,24.1933139664497,11.1333272580712
10-30,0,0.518456838198551,511.348924479224,0,25.0431520898444,11.9367450015182
10-31,0,0.534690723078178,527.36024685306,0,25.4861885911448,12.97361660669
11-01,0,0.550795565183402,543.24429559669,0,25.5841696989968,14.0022461435201
11-02,0,0.56890372977182,561.104201772784,0,25.6350481357398,15.1588295382362
11-03,0,0.586331978804851,578.293513865883,0,25.5517030302162,16.2719861661295
11-04,6.29565927501326E-05,0.595684407657623,587.517723255715,0,26.2315896977555,16.8693335040424
11-05,0.000152912570537,0.604439175216349,596.15246513852,0,26.8715498105012,17.4284783861683
11-06,0.000303788212794,0.613665248674052,605.252051434181,0,27.2727368022745,18.0176802109989
11-07,0.000556942970582,0.619950645369802,611.45127691159,0,28.2001545660929,18.419032046891
11-08,0.000952920997895,0.620351255883073,611.846395154813,0,29.3719360467188,18.4446074949394
11-09,0.001432356893713,0.630725599301176,622.078508916602,0,29.1686363175393,19.1066991728761
11-10,0.001923665112642,0.646873181097324,638.004711400671,0,29.0219296961141,20.1368274667497
11-11,0.002412482256582,0.66082427822957,651.764542476806,0,28.8663099983329,21.0264671068451
11-12,0.002891664644014,0.674098489421944,664.856767550191,0,28.7979802438946,21.8725974259324
11-13,0.003410299916916,0.68805668200552,678.62359680079,0,28.6851099928819,22.7619703717223
